Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Naughton,23,15,9,12.0,2.0,1.5,1.2,20,0,0,90,60
Adam Treloar,19,34,19,29.0,0.8,0.3,1.4,100,90,80,60,20
Alex Keath,18,17,4,12.2,0.0,0.0,0.6,30,0,0,0,0
Anthony Scott,22,20,4,10.1,0.3,0.2,0.6,10,10,0,30,0
Arthur Jones,13,14,0,8.0,0.4,0.7,0.6,0,0,0,30,10
Bailey Dale,23,37,18,25.0,0.2,0.1,0.3,100,90,60,20,0
Bailey Smith,19,28,11,20.3,0.2,0.4,0.6,90,50,20,20,0
Bailey Williams,23,21,4,14.4,0.2,0.1,0.1,40,20,0,20,0
Buku Khamis,1,6,6,6.0,0.0,0.0,0.0,0,0,0,0,0
Caleb Daniel,23,32,12,21.2,0.3,0.2,0.2,80,80,30,20,10
Caleb Poulter,9,20,11,14.78,0.33,0.11,0.44,56,11,0,33,0
Cody Weightman,19,17,5,10.7,2.1,0.9,1.0,10,0,0,90,50
Ed Richards,19,29,14,21.0,0.1,0.2,0.2,90,60,20,10,0
Jack Macrae,22,32,13,22.9,0.2,0.2,1.2,90,80,30,20,0
Jamarra Ugle-Hagan,23,16,7,12.1,1.9,1.4,0.5,40,0,0,80,50
James Harmes,9,20,3,12.33,0.11,0.56,0.56,44,11,0,11,0
James O'Donnell,12,15,5,9.1,0.1,0.1,0.2,10,0,0,10,0
Jason Johannisen,11,28,12,20.2,0.4,0.1,0.4,90,50,20,40,0
Lachlan Bramble,11,24,7,16.4,0.1,0.3,0.3,60,40,0,10,0
Lachlan McNeil,13,13,0,6.3,0.1,0.2,0.1,0,0,0,10,0
Laitham Vandermeer,11,21,10,13.2,0.2,0.3,0.3,30,10,0,20,0
Liam Jones,18,14,0,9.1,0.0,0.0,0.4,0,0,0,0,0
Luke Cleary,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Marcus Bontempelli,23,32,23,29.3,1.2,0.6,0.9,100,100,90,60,40
Oskar Baker,18,22,4,13.9,0.3,0.7,0.3,50,20,0,30,0
Rhylee West,12,24,5,12.4,0.6,0.6,0.5,30,10,0,50,10
Riley Garcia,3,12,9,10.33,0.33,0.0,0.33,0,0,0,33,0
Rory Lobb,20,16,6,11.7,1.3,1.1,0.8,10,0,0,70,40
Ryan Gardner,10,16,4,8.9,0.1,0.0,0.5,10,0,0,10,0
Sam Darcy,3,6,2,3.33,0.0,0.67,0.0,0,0,0,0,0
Taylor Duryea,20,14,6,11.2,0.0,0.0,0.9,0,0,0,0,0
Tom Liberatore,21,36,6,27.9,0.2,0.4,1.1,90,90,80,20,0
Tim English,23,25,10,18.4,0.9,0.1,1.9,80,40,10,70,20
