Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Cadman,1,10,10,10.0,2.0,1.0,0.0,0,0,0,100,100
Brent Daniels,1,22,22,22.0,4.0,2.0,0.0,100,100,0,100,100
Callan Ward,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Callum M. Brown,1,11,11,11.0,5.0,0.0,1.0,0,0,0,100,100
Connor Idun,1,16,16,16.0,0.0,0.0,1.0,100,0,0,0,0
Harry Himmelberg,1,24,24,24.0,0.0,0.0,1.0,100,100,0,0,0
Harvey Thomas,1,9,9,9.0,0.0,0.0,0.0,0,0,0,0,0
Jack Buckley,1,8,8,8.0,0.0,0.0,1.0,0,0,0,0,0
Jacob Wehr,1,11,11,11.0,0.0,1.0,0.0,0,0,0,0,0
Jake Riccardi,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Jesse Hogan,1,12,12,12.0,4.0,0.0,0.0,0,0,0,100,100
Josh Kelly,1,32,32,32.0,1.0,0.0,1.0,100,100,100,100,0
Kieren Briggs,1,14,14,14.0,0.0,0.0,1.0,0,0,0,0,0
Lachie Whitfield,1,33,33,33.0,0.0,0.0,1.0,100,100,100,0,0
Lachie Ash,1,25,25,25.0,0.0,0.0,1.0,100,100,100,0,0
Nick Haynes,1,23,23,23.0,0.0,0.0,0.0,100,100,0,0,0
Sam Taylor,1,15,15,15.0,0.0,0.0,1.0,100,0,0,0,0
Stephen Coniglio,1,28,28,28.0,0.0,0.0,3.0,100,100,100,0,0
Toby Bedford,1,11,11,11.0,0.0,0.0,2.0,0,0,0,0,0
Toby Greene,1,15,15,15.0,1.0,0.0,1.0,100,0,0,100,0
Toby McMullin,1,11,11,11.0,0.0,0.0,0.0,0,0,0,0,0
Tom Green,1,30,30,30.0,1.0,0.0,1.0,100,100,100,100,0
Xavier O'Halloran,1,15,15,15.0,0.0,0.0,0.0,100,0,0,0,0
